output_file,policy_id,accuracy
test_policy.json,    "policy": {,}
ArccaGAFunctions.py,from ARCCAPythonTool import ArccaTool,results:
PsoAugment.py,,print(technique)
create_thresholded_policy.py,import os,f:
output_check.py,,f:
genetic_augment_math_analysis.py,import numpy as np,f.write("\n".join(results_rows))
output-3668136.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00061,exceeded
output-3782217.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00091,exceeded
output-3776444.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00086,exceeded
output-3668135.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00060,exceeded
output-2901187.o,policy_id: test_pso_exp_0001_5e_10p_1-20_00016,busy
output-2856531.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00000_00004,busy
output-2856556.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00057_00001,busy
output-2856557.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00057_00002,busy
output-4539521.o,policy_id: tabu_fTransf_AutoAugmentBasedPopulation_exp_0001_60e_100ls_25-2_00001_00174,busy
output-2856530.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00000_00003,busy
output-4539520.o,policy_id: tabu_fTransf_AutoAugmentBasedPopulation_exp_0001_60e_100ls_25-2_00001_00173,busy
output-2856527.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00000_00000,busy
output-3682401.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00007,busy
output-2856555.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00057_00000,busy
output-3634435.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_1e_100ls_25-2_00000_00003,busy
output-3682400.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00006,busy
output-3634434.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_1e_100ls_25-2_00000_00002,busy
output-2901485.o,policy_id: test_pso_exp_0001_120e_10p_1-20_00001,busy
output-2901191.o,policy_id: test_pso_exp_0001_5e_10p_1-20_00019,busy
output-2901188.o,policy_id: test_pso_exp_0001_5e_10p_1-20_00017,busy
output-2901190.o,policy_id: test_pso_exp_0001_5e_10p_1-20_00018,busy
output-2901192.o,policy_id: test_pso_exp_0001_5e_10p_1-20_00020,busy
output-4942765.o,policy_id: autoaugment_paper_cifar10,0.9746
output-2892898.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00005,0.9745
output-2843932.o,policy_id: 000proposed_policy,0.9744
output-5043800.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.5_0,0.9743
output-2843933.o,policy_id: autoaugment_paper_cifar10,0.9741
output-4942764.o,policy_id: autoaugment_paper_cifar10,0.9741
output-4942763.o,policy_id: autoaugment_paper_cifar10,0.974
output-2843512.o,policy_id: autoaugment_paper_cifar10,0.974
output-2843731.o,policy_id: autoaugment_paper_cifar10,0.974
output-4470861.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00850,0.974
output-2857590.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00037_00008,0.974
output-2843732.o,policy_id: autoaugment_paper_cifar10,0.974
output-5043786.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.5_0,0.974
output-5043807.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.5_0,0.9737
output-2843930.o,policy_id: 000proposed_policy,0.9736
output-2843931.o,policy_id: autoaugment_paper_cifar10,0.9735
output-2868669.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00087_00004,0.9732
output-2843733.o,policy_id: 000proposed_policy,0.9732
output-2843734.o,policy_id: 000proposed_policy,0.9732
output-2843509.o,policy_id: 000proposed_policy,0.9732
output-2868671.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00087_00004,0.9731
output-4224328.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00050,0.9728
output-4519617.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_20e_100ls_25-2_00001_00850,0.9727
output-2868672.o,policy_id: AutoAugmentBasedPopulation_exp_0001_20e_10p_25-2_00087_00004,0.9726
output-4752435.o,policy_id: tabu_fTransf_AutoAugmentBasedPopulation_exp_0001_60e_100ls_25-2_00001_00115,0.9721
output-4539530.o,policy_id: tabu_fTransf_AutoAugmentBasedPopulation_exp_0001_60e_100ls_25-2_00001_00115,0.9721
output-2892897.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00005,0.972
output-2892899.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00005,0.9712
output-4942684.o,policy_id: blank_policy,0.9689
output-4942683.o,policy_id: blank_policy,0.9684
output-4942685.o,policy_id: blank_policy,0.9683
output-5102683.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.5_0,0.9654
output-5102684.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.5_0,0.9646
output-5018664.o,policy_id: pso_exp_0002_20e_10p_1-20_00196,0.9643
output-4960530.o,policy_id: pso_exp_0002_20e_10p_1-20_00196,0.9643
output-5102690.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.3_0,0.9615
output-5102691.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.3_0,0.961
output-5103977.o,policy_id: AutoAugmentBestCifar10Policythresholded_0.3_0,0.961
output-2841200.o,1 - proposed_policy_1mo,0.858
output-2843501.o,policy_id: 000proposed_policy,0.858
output-3634510.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00004,0.8532
output-2841240.o,policy_id: autoaugment_paper_cifar10,0.8502
